Track_ID,Class,Max_Speed_kmh,Avg_Speed_kmh,Total_Distance_m,Sprint_Count
1,Player,59.16,17.37,34.75,52
10,Player,49.96,20.16,40.32,89
11,Player,37.85,13.53,27.05,32
12,Player,37.64,11.49,22.99,21
13,Referee,14.22,7.05,5.25,0
14,Player,62.43,17.97,35.95,61
15,Player,55.59,16.96,26.75,51
16,Player,57.16,21.81,43.61,77
17,Player,32.63,15.12,30.24,42
18,Player,120.06,31.58,63.16,111
19,Referee,65.97,17.65,35.31,56
2,Player,51.09,16.20,32.41,50
20,Player,273.66,27.56,15.31,21
21,Player,51.37,17.61,35.22,71
22,Referee,65.99,15.24,30.48,46
23,Player,414.46,37.07,16.89,40
25,Player,10.80,3.93,1.09,0
26,Player,98.63,19.93,38.32,77
27,Player,78.51,29.91,49.52,100
3,Player,39.20,11.16,22.32,11
31,Player,75.21,17.13,11.80,14
32,Player,38.40,12.05,6.70,6
36,Referee,57.16,18.79,5.01,8
37,Referee,8.01,8.01,1.42,0
4,Player,30.07,14.50,29.01,36
5,Player,44.37,13.98,27.96,34
6,Player,35.62,14.01,28.02,32
7,Player,73.23,18.46,36.92,70
8,Player,75.84,22.27,44.55,83
9,Player,50.24,18.13,36.25,68
